lab.id,site,unique.id,moisture.trt,temp.trt,moisturePercent.gwc,total.dwe.added,cumulativeCO2Flux,Latitude,Longitude,MAT_c,MAP_mm,Elevation_m
53,TREE,TREE_S_T0_P19,60,15,23.23692552,1.254855614,25.42352284,45.49369,-89.58571,4.8,797,472
54,TREE,TREE_S_T0_P34,60,15,15.7744852,1.268886962,25.72174249,45.49369,-89.58571,4.8,797,472
55,BART,BART_S_T0_P02,80,15,62.33846894,1.268154796,16.74652961,44.06388,-71.28731,6.2,1325,232
56,BART,BART_S_T0_P08,80,15,65.80955796,1.263196118,28.26609242,44.06388,-71.28731,6.2,1325,232
57,BART,BART_S_T0_P11,80,15,46.98405036,1.273948622,28.8918525,44.06388,-71.28731,6.2,1325,232
58,GRSM,GRSM_S_T0_P20,80,15,32.57625565,1.273297251,37.7529525,35.68896,-83.50195,13.1,1375,579
59,GRSM,GRSM_S_T0_P25,80,15,40.36513191,1.260604316,27.6805769,35.68896,-83.50195,13.1,1375,579
60,GRSM,GRSM_S_T0_P27,80,15,29.47060356,1.249944543,28.95131234,35.68896,-83.50195,13.1,1375,579
61,LENO,LENO_S_T0_P15,80,15,27.17078109,1.251622482,27.81281068,31.85388,-88.16122,18.1,1386,20
62,LENO,LENO_S_T0_P31,80,15,34.46846645,1.273347173,24.51424313,31.85388,-88.16122,18.1,1386,20
63,LENO,LENO_S_T0_P36,80,15,25.34191314,1.274711198,23.65512762,31.85388,-88.16122,18.1,1386,20
64,SERC,SERC_S_T0_P10,80,15,25.26739853,1.262197138,27.44269641,38.89008,-76.56001,13.6,1075,15
65,SERC,SERC_S_T0_P20,80,15,24.55320429,1.25990169,26.60768792,38.89008,-76.56001,13.6,1075,15
66,SERC,SERC_S_T0_P28,80,15,36.15461317,1.261623414,24.85246524,38.89008,-76.56001,13.6,1075,15
67,TALL,TALL_S_T0_P23,80,15,15.47117654,1.248255755,26.76335477,32.95046,-87.39327,17.2,1383,135
68,TALL,TALL_S_T0_P27,80,15,19.36135701,1.26000687,23.03034441,32.95046,-87.39327,17.2,1383,135
69,TALL,TALL_S_T0_P32,80,15,15.10989011,1.259549437,22.72919513,32.95046,-87.39327,17.2,1383,135
70,TREE,TREE_S_T0_P13,80,15,36.94961599,1.26512171,32.21882579,45.49369,-89.58571,4.8,797,472
71,TREE,TREE_S_T0_P19,80,15,23.23692552,1.243357441,27.39178746,45.49369,-89.58571,4.8,797,472
72,TREE,TREE_S_T0_P34,80,15,15.7744852,1.258224324,27.29246688,45.49369,-89.58571,4.8,797,472
73,BART,BART_S_T0_P02,100,15,62.33846894,1.248132118,24.34805661,44.06388,-71.28731,6.2,1325,232
74,BART,BART_S_T0_P08,100,15,65.80955796,1.261212641,30.70818504,44.06388,-71.28731,6.2,1325,232
75,BART,BART_S_T0_P11,100,15,46.98405036,1.286984412,27.5669802,44.06388,-71.28731,6.2,1325,232
76,GRSM,GRSM_S_T0_P20,100,15,32.57625565,1.238255492,20.45677684,35.68896,-83.50195,13.1,1375,579
77,GRSM,GRSM_S_T0_P25,100,15,40.36513191,1.257943748,26.81224113,35.68896,-83.50195,13.1,1375,579
78,GRSM,GRSM_S_T0_P27,100,15,29.47060356,1.243612012,25.56417738,35.68896,-83.50195,13.1,1375,579
79,LENO,LENO_S_T0_P15,100,15,27.17078109,1.25725867,23.92964546,31.85388,-88.16122,18.1,1386,20
80,LENO,LENO_S_T0_P31,100,15,34.46846645,1.283759701,22.41459301,31.85388,-88.16122,18.1,1386,20
81,LENO,LENO_S_T0_P36,100,15,25.34191314,1.274650345,19.77691977,31.85388,-88.16122,18.1,1386,20
82,SERC,SERC_S_T0_P10,100,15,25.26739853,1.265417781,25.53078349,38.89008,-76.56001,13.6,1075,15
83,SERC,SERC_S_T0_P20,100,15,24.55320429,1.267751968,27.89310527,38.89008,-76.56001,13.6,1075,15
84,SERC,SERC_S_T0_P28,100,15,36.15461317,1.253877844,25.30387031,38.89008,-76.56001,13.6,1075,15
85,TALL,TALL_S_T0_P23,100,15,15.47117654,1.2583507,22.45566326,32.95046,-87.39327,17.2,1383,135
86,TALL,TALL_S_T0_P27,100,15,19.36135701,1.257928404,25.70652644,32.95046,-87.39327,17.2,1383,135
87,TALL,TALL_S_T0_P32,100,15,15.10989011,1.256857592,21.14554969,32.95046,-87.39327,17.2,1383,135
88,TREE,TREE_S_T0_P13,100,15,36.94961599,1.253886426,23.92925121,45.49369,-89.58571,4.8,797,472
89,TREE,TREE_S_T0_P19,100,15,23.23692552,1.252029951,30.60589406,45.49369,-89.58571,4.8,797,472
90,TREE,TREE_S_T0_P34,100,15,15.7744852,1.248336009,26.01300756,45.49369,-89.58571,4.8,797,472
91,BART,BART_S_T0_P02,20,25,62.33846894,1.264244744,4.966930001,44.06388,-71.28731,6.2,1325,232
92,BART,BART_S_T0_P08,20,25,65.80955796,1.270910869,8.689759795,44.06388,-71.28731,6.2,1325,232
93,BART,BART_S_T0_P11,20,25,46.98405036,1.236762649,7.316130416,44.06388,-71.28731,6.2,1325,232
94,GRSM,GRSM_S_T0_P20,20,25,32.57625565,1.278642872,4.873510363,35.68896,-83.50195,13.1,1375,579
95,GRSM,GRSM_S_T0_P25,20,25,40.36513191,1.235269666,10.89989462,35.68896,-83.50195,13.1,1375,579
96,GRSM,GRSM_S_T0_P27,20,25,29.47060356,1.252571587,10.15678494,35.68896,-83.50195,13.1,1375,579
97,LENO,LENO_S_T0_P15,20,25,27.17078109,1.255208781,6.754366228,31.85388,-88.16122,18.1,1386,20
98,LENO,LENO_S_T0_P31,20,25,34.46846645,1.280063062,11.44981687,31.85388,-88.16122,18.1,1386,20
99,LENO,LENO_S_T0_P36,20,25,25.34191314,1.252509261,5.092557072,31.85388,-88.16122,18.1,1386,20
100,SERC,SERC_S_T0_P10,20,25,25.26739853,1.282488042,4.473822124,38.89008,-76.56001,13.6,1075,15
101,SERC,SERC_S_T0_P20,20,25,24.55320429,1.261857851,5.884768372,38.89008,-76.56001,13.6,1075,15
102,SERC,SERC_S_T0_P28,20,25,36.15461317,1.272853007,8.071379907,38.89008,-76.56001,13.6,1075,15
103,TALL,TALL_S_T0_P23,20,25,15.47117654,1.251831578,16.20897748,32.95046,-87.39327,17.2,1383,135
104,TALL,TALL_S_T0_P27,20,25,19.36135701,1.271252125,16.27618277,32.95046,-87.39327,17.2,1383,135
105,TALL,TALL_S_T0_P32,20,25,15.10989011,1.265421865,12.9823924,32.95046,-87.39327,17.2,1383,135
106,TREE,TREE_S_T0_P13,20,25,36.94961599,1.263373106,14.92495435,45.49369,-89.58571,4.8,797,472
107,TREE,TREE_S_T0_P19,20,25,23.23692552,1.250313582,5.793824563,45.49369,-89.58571,4.8,797,472
108,TREE,TREE_S_T0_P34,20,25,15.7744852,1.246091024,7.178721325,45.49369,-89.58571,4.8,797,472
109,BART,BART_S_T0_P02,40,25,62.33846894,1.264154102,35.17147272,44.06388,-71.28731,6.2,1325,232
