lab.id,site,unique.id,moisture.trt,temp.trt,cumulativeCO2Flux,GWC,VWC,soil.pH,Latitude,Longitude,MAT_c,MAP_mm,Elevation_m
50,TALL,TALL_S_T0_P27,60,15,1.991766284,19.36135701,32.16666667,5.14,32.95046,-87.39327,17.2,1383,135
51,TALL,TALL_S_T0_P32,60,15,1.782577002,15.10989011,5.966666667,4.99,32.95046,-87.39327,17.2,1383,135
52,TREE,TREE_S_T0_P13,60,15,2.709329507,36.94961599,28.43333333,4.41,45.49369,-89.58571,4.8,797,472
53,TREE,TREE_S_T0_P19,60,15,2.542352284,23.23692552,9.6,4.81,45.49369,-89.58571,4.8,797,472
54,TREE,TREE_S_T0_P34,60,15,2.572174249,15.7744852,4.966666667,5.03,45.49369,-89.58571,4.8,797,472
55,BART,BART_S_T0_P02,80,15,1.674652961,62.33846894,25.06666667,4.34,44.06388,-71.28731,6.2,1325,232
56,BART,BART_S_T0_P08,80,15,2.826609242,65.80955796,20.56666667,4.21,44.06388,-71.28731,6.2,1325,232
57,BART,BART_S_T0_P11,80,15,2.88918525,46.98405036,13.56666667,4.5,44.06388,-71.28731,6.2,1325,232
58,GRSM,GRSM_S_T0_P20,80,15,3.77529525,32.57625565,14.3,4.95,35.68896,-83.50195,13.1,1375,579
59,GRSM,GRSM_S_T0_P25,80,15,2.76805769,40.36513191,21.93333333,4.89,35.68896,-83.50195,13.1,1375,579
60,GRSM,GRSM_S_T0_P27,80,15,2.895131234,29.47060356,11.63333333,4.77,35.68896,-83.50195,13.1,1375,579
61,LENO,LENO_S_T0_P15,80,15,2.781281068,27.17078109,29.93333333,5.55,31.85388,-88.16122,18.1,1386,20
62,LENO,LENO_S_T0_P31,80,15,2.451424313,34.46846645,39.63333333,5.92,31.85388,-88.16122,18.1,1386,20
63,LENO,LENO_S_T0_P36,80,15,2.365512762,25.34191314,16.23333333,5.97,31.85388,-88.16122,18.1,1386,20
64,SERC,SERC_S_T0_P10,80,15,2.744269641,25.26739853,20.9,4.71,38.89008,-76.56001,13.6,1075,15
65,SERC,SERC_S_T0_P20,80,15,2.660768792,24.55320429,16.96666667,4.49,38.89008,-76.56001,13.6,1075,15
66,SERC,SERC_S_T0_P28,80,15,2.485246524,36.15461317,47.56666667,5.67,38.89008,-76.56001,13.6,1075,15
67,TALL,TALL_S_T0_P23,80,15,2.676335477,15.47117654,8.633333333,5.27,32.95046,-87.39327,17.2,1383,135
68,TALL,TALL_S_T0_P27,80,15,2.303034441,19.36135701,32.16666667,5.14,32.95046,-87.39327,17.2,1383,135
69,TALL,TALL_S_T0_P32,80,15,2.272919513,15.10989011,5.966666667,4.99,32.95046,-87.39327,17.2,1383,135
70,TREE,TREE_S_T0_P13,80,15,3.221882579,36.94961599,28.43333333,4.41,45.49369,-89.58571,4.8,797,472
71,TREE,TREE_S_T0_P19,80,15,2.739178746,23.23692552,9.6,4.81,45.49369,-89.58571,4.8,797,472
72,TREE,TREE_S_T0_P34,80,15,2.729246688,15.7744852,4.966666667,5.03,45.49369,-89.58571,4.8,797,472
73,BART,BART_S_T0_P02,100,15,2.434805661,62.33846894,25.06666667,4.34,44.06388,-71.28731,6.2,1325,232
74,BART,BART_S_T0_P08,100,15,3.070818504,65.80955796,20.56666667,4.21,44.06388,-71.28731,6.2,1325,232
75,BART,BART_S_T0_P11,100,15,2.75669802,46.98405036,13.56666667,4.5,44.06388,-71.28731,6.2,1325,232
76,GRSM,GRSM_S_T0_P20,100,15,2.045677684,32.57625565,14.3,4.95,35.68896,-83.50195,13.1,1375,579
77,GRSM,GRSM_S_T0_P25,100,15,2.681224113,40.36513191,21.93333333,4.89,35.68896,-83.50195,13.1,1375,579
