"","site","n","mean_cum_CO2","md_cum_CO2"
"1","BART",12,30.9464636304196,31.718760898087
"2","GRSM",12,28.8618530109698,28.4127774843482
"3","LENO",12,24.5791497901377,24.551048736608
"4","SERC",12,25.1992486283331,25.1298852308353
"5","TALL",12,20.6996503227444,20.4558920962223
"6","TREE",12,26.1112916124677,25.5549581256513
