"","site","year50.x","year50.y","diff","p_diff"
"1","BART",3.00502283105023,2.51735159817352,0.487671232876712,0.193723925267549
"2","GRSM",1.88538812785388,1.83881278538813,0.0465753424657518,0.0253290290538855
"3","LENO",1.56803652968037,1.6027397260274,-0.0347031963470301,-0.0216524216524205
"4","SERC",2.03150684931507,1.97442922374429,0.0570776255707783,0.0289084181313608
"5","TALL",1.31095890410959,1.33561643835616,-0.0246575342465745,-0.0184615384615379
"6","TREE",3.58630136986301,2.83333333333333,0.752968036529678,0.265753424657533
